Countries (PWT nomenclature);Non-commodity exporters;;;;;Statistical capacity;;;;;OECD;;;;;All sample;;;;
;gdppc1960;gdppc2019;n+delta+g;share_i;school;gdppc1960;gdppc2019;n+delta+g;share_i;school;gdppc1960;gdppc2019;n+delta+g;share_i;school;gdppc1960;gdppc2019;n+delta+g;share_i;school
China;-6.3351;-3.8877;-2.7108;-1.2894;-2.5020;-6.3351;-3.8877;-2.7108;-1.2894;-2.5020;;;;;;-6.3351;-3.8877;-2.7108;-1.2894;-2.5020
China, Hong Kong SAR;;;;;;;;;;;;;;;;-4.6542;-2.5592;-2.6746;-1.4456;-2.4679
China, Macao SAR;;;;;;;;;;;;;;;;;;;;
Fiji;-5.1642;-3.8569;-2.6789;-1.5191;-2.2547;-5.1642;-3.8569;-2.6789;-1.5191;-2.2547;;;;;;-5.1642;-3.8569;-2.6789;-1.5191;-2.2547
Indonesia;;;;;;-5.9273;-4.0676;-2.6254;-1.6875;-3.3260;;;;;;-5.9273;-4.0676;-2.6254;-1.6875;-3.3260
Lao People's DR;;;;;;;;;;;;;;;;;;;;
Malaysia;-5.3006;-3.2944;-2.5417;-1.3080;-2.3406;-5.3006;-3.2944;-2.5417;-1.3080;-2.3406;;;;;;-5.3006;-3.2944;-2.5417;-1.3080;-2.3406
Mongolia;;;;;;;;;;;;;;;;;;;;
Myanmar;-6.5636;-4.8835;-2.6756;-2.2156;-3.5390;-6.5636;-4.8835;-2.6756;-2.2156;-3.5390;;;;;;-6.5636;-4.8835;-2.6756;-2.2156;-3.5390
Papua New Guinea;;;;;;;;;;;;;;;;;;;;
Philippines;-5.5315;-4.3307;-2.5426;-1.6693;-2.4672;-5.5315;-4.3307;-2.5426;-1.6693;-2.4672;;;;;;-5.5315;-4.3307;-2.5426;-1.6693;-2.4672
Republic of Korea;-6.0157;-2.8485;-2.6945;-1.1232;-2.3024;-6.0157;-2.8485;-2.6945;-1.1232;-2.3024;-6.0157;-2.8485;-2.6945;-1.1232;-2.3024;-6.0157;-2.8485;-2.6945;-1.1232;-2.3024
Singapore;-5.8813;-2.1954;-2.5663;-0.8027;-2.4856;-5.8813;-2.1954;-2.5663;-0.8027;-2.4856;;;;;;-5.8813;-2.1954;-2.5663;-0.8027;-2.4856
Taiwan;;;;;;;;;;;;;;;;-4.8757;-2.3440;-2.6493;-1.3358;-2.3842
Thailand;-6.1362;-3.7220;-2.6505;-1.4228;-2.9345;-6.1362;-3.7220;-2.6505;-1.4228;-2.9345;;;;;;-6.1362;-3.7220;-2.6505;-1.4228;-2.9345
Tonga;;;;;;;;;;;;;;;;;;;;
Viet Nam;;;;;;;;;;;;;;;;;;;;
Albania;;;;;;;;;;;;;;;;;;;;
Armenia;;;;;;;;;;;;;;;;;;;;
Bulgaria;;;;;;;;;;;;;;;;;;;;
Croatia;;;;;;;;;;;;;;;;;;;;
Czech Republic;;;;;;;;;;;;;;;;;;;;
Estonia;;;;;;;;;;;;;;;;;;;;
Hungary;;;;;;;;;;;;;;;;;;;;
Kazakhstan;;;;;;;;;;;;;;;;;;;;
Kyrgyzstan;;;;;;;;;;;;;;;;;;;;
Latvia;;;;;;;;;;;;;;;;;;;;
Lithuania;;;;;;;;;;;;;;;;;;;;
Poland;;;;;;;;;;;;;;;;;;;;
Republic of Moldova;;;;;;;;;;;;;;;;;;;;
Romania;-6.0879;-3.1581;-2.9720;-1.5830;-2.5543;-6.0879;-3.1581;-2.9720;-1.5830;-2.5543;;;;;;-6.0879;-3.1581;-2.9720;-1.5830;-2.5543
Russian Federation;;;;;;;;;;;;;;;;;;;;
Serbia;;;;;;;;;;;;;;;;;;;;
Slovakia;;;;;;;;;;;;;;;;;;;;
Slovenia;;;;;;;;;;;;;;;;;;;;
Tajikistan;;;;;;;;;;;;;;;;;;;;
Ukraine;;;;;;;;;;;;;;;;;;;;
Argentina;-5.2975;-3.3844;-2.7550;-1.9110;-2.7897;-5.2975;-3.3844;-2.7550;-1.9110;-2.7897;;;;;;-5.2975;-3.3844;-2.7550;-1.9110;-2.7897
Barbados;-4.2159;-4.0002;-2.8655;-1.9793;-2.2438;-4.2159;-4.0002;-2.8655;-1.9793;-2.2438;;;;;;-4.2159;-4.0002;-2.8655;-1.9793;-2.2438
Belize;;;;;;;;;;;;;;;;;;;;
Bolivia (Plurinational State of);;;;;;-5.7434;-4.2803;-2.6318;-1.9927;-2.3184;;;;;;-5.7434;-4.2803;-2.6318;-1.9927;-2.3184
Brazil;-5.4846;-3.8667;-2.6190;-1.6010;-3.2959;-5.4846;-3.8667;-2.6190;-1.6010;-3.2959;;;;;;-5.4846;-3.8667;-2.6190;-1.6010;-3.2959
Chile;;;;;;-4.7200;-3.3848;-2.6927;-1.6953;-2.5807;-4.7200;-3.3848;-2.6927;-1.6953;-2.5807;-4.7200;-3.3848;-2.6927;-1.6953;-2.5807
Colombia;;;;;;-4.8802;-3.8879;-2.5915;-1.5305;-2.6425;-4.8802;-3.8879;-2.5915;-1.5305;-2.6425;-4.8802;-3.8879;-2.5915;-1.5305;-2.6425
Costa Rica;-4.6633;-3.6183;-2.5525;-1.9173;-2.8042;-4.6633;-3.6183;-2.5525;-1.9173;-2.8042;;;;;;-4.6633;-3.6183;-2.5525;-1.9173;-2.8042
Cuba;;;;;;;;;;;;;;;;;;;;
Dominican Republic;-5.0527;-3.5906;-2.5897;-1.6040;-2.6630;-5.0527;-3.5906;-2.5897;-1.6040;-2.6630;;;;;;-5.0527;-3.5906;-2.5897;-1.6040;-2.6630
Ecuador;;;;;;-4.8141;-4.0567;-2.5655;-1.4187;-2.7570;;;;;;-4.8141;-4.0567;-2.5655;-1.4187;-2.7570
El Salvador;-6.6903;-4.3780;-2.6836;-2.1326;-3.3197;-6.6903;-4.3780;-2.6836;-2.1326;-3.3197;;;;;;-6.6903;-4.3780;-2.6836;-2.1326;-3.3197
Guatemala;-5.3701;-4.3095;-2.5654;-1.9917;-3.4899;-5.3701;-4.3095;-2.5654;-1.9917;-3.4899;;;;;;-5.3701;-4.3095;-2.5654;-1.9917;-3.4899
Guyana;;;;;;;;;;;;;;;;;;;;
Haiti;;;;;;;;;;;;;;;;-5.9274;-5.9901;-2.6605;-1.5236;-3.4031
Honduras;-5.4929;-4.7701;-2.5131;-1.7343;-3.0030;-5.4929;-4.7701;-2.5131;-1.7343;-3.0030;;;;;;-5.4929;-4.7701;-2.5131;-1.7343;-3.0030
Jamaica;-4.6729;-4.3831;-2.7507;-1.6984;-2.4184;-4.6729;-4.3831;-2.7507;-1.6984;-2.4184;;;;;;-4.6729;-4.3831;-2.7507;-1.6984;-2.4184
Mexico;;;;;;-4.3695;-3.5678;-2.5842;-1.6229;-2.4900;-4.3695;-3.5678;-2.5842;-1.6229;-2.4900;-4.3695;-3.5678;-2.5842;-1.6229;-2.4900
Nicaragua;-4.6636;-4.8579;-2.5666;-1.5655;-2.9884;-4.6636;-4.8579;-2.5666;-1.5655;-2.9884;;;;;;-4.6636;-4.8579;-2.5666;-1.5655;-2.9884
